series_id,category1_id,category2_id,category3_id,category4_id,category5_id,category6_id,category7_id,category8_id,category9_id,geoset_id
ELEC.COST_BTU.BIT-US-97.A,0,41141,41152,41426,41830,,,,,ELEC.COST_BTU.BIT-97.A
ELEC.ASH_CONTENT.PC-CA-98.A,0,41143,41156,41454,42086,,,,,ELEC.ASH_CONTENT.PC-98.A
ELEC.ASH_CONTENT.COW-AK-1.A,0,41143,41156,41455,42088,,,,,ELEC.ASH_CONTENT.COW-1.A
ELEC.SULFUR_CONTENT.COW-AR-2.A,0,41142,41154,41439,41948,,,,,ELEC.SULFUR_CONTENT.COW-2.A
ELEC.ASH_CONTENT.SUB-AK-1.A,0,41143,41156,41455,42090,,,,,ELEC.ASH_CONTENT.SUB-1.A
ELEC.COST_BTU.SUB-US-97.A,0,41141,41152,41426,41831,,,,,ELEC.COST_BTU.SUB-97.A
ELEC.ASH_CONTENT.PC-ENC-1.A,0,41143,41156,41455,42093,,,,,ELEC.ASH_CONTENT.PC-1.A
ELEC.ASH_CONTENT.COW-AK-94.A,0,41143,41156,41456,42095,,,,,ELEC.ASH_CONTENT.COW-94.A
ELEC.ASH_CONTENT.BIT-AL-94.A,0,41143,41156,41456,42096,,,,,ELEC.ASH_CONTENT.BIT-94.A
ELEC.COST_BTU.LIG-US-97.A,0,41141,41152,41426,41832,,,,,ELEC.COST_BTU.LIG-97.A
ELEC.ASH_CONTENT.LIG-ESC-94.A,0,41143,41156,41456,42098,,,,,ELEC.ASH_CONTENT.LIG-94.A
ELEC.CONS_EG_BTU.COW-AL-7.A,0,33,374,413,822,,,,,ELEC.CONS_EG_BTU.COW-7.A
ELEC.SULFUR_CONTENT.LIG-ESC-94.A,0,41142,41154,41438,41944,,,,,ELEC.SULFUR_CONTENT.LIG-94.A
ELEC.ASH_CONTENT.COW-AR-2.A,0,41143,41156,41457,42102,,,,,ELEC.ASH_CONTENT.COW-2.A
ELEC.COST_BTU.PEL-ENC-97.M,0,41141,41152,41426,41833,,,,,ELEC.COST_BTU.PEL-97.A
ELEC.ASH_CONTENT.SUB-AR-2.A,0,41143,41156,41457,42104,,,,,ELEC.ASH_CONTENT.SUB-2.A
ELEC.ASH_CONTENT.LIG-ESC-2.A,0,41143,41156,41457,42105,,,,,ELEC.ASH_CONTENT.LIG-2.A
ELEC.ASH_CONTENT.PC-CA-2.A,0,41143,41156,41457,42107,,,,,ELEC.ASH_CONTENT.PC-2.A
ELEC.COST_BTU.PC-US-97.A,0,41141,41152,41426,41834,,,,,ELEC.COST_BTU.PC-97.A
ELEC.ASH_CONTENT.BIT-AL-3.A,0,41143,41156,41458,42110,,,,,ELEC.ASH_CONTENT.BIT-3.A
ELEC.ASH_CONTENT.SUB-AK-3.A,0,41143,41156,41458,42111,,,,,ELEC.ASH_CONTENT.SUB-3.A
ELEC.ASH_CONTENT.PC-CA-3.A,0,41143,41156,41458,42114,,,,,ELEC.ASH_CONTENT.PC-3.A
ELEC.COST_BTU.NG-AL-97.M,0,41141,41152,41426,41835,,,,,ELEC.COST_BTU.NG-97.A
ELEC.ASH_CONTENT.COW-AK-96.A,0,41143,41156,41459,42116,,,,,ELEC.ASH_CONTENT.COW-96.A
ELEC.ASH_CONTENT.BIT-ENC-96.A,0,41143,41156,41459,42117,,,,,ELEC.ASH_CONTENT.BIT-96.A
ELEC.ASH_CONTENT.SUB-AK-96.A,0,41143,41156,41459,42118,,,,,ELEC.ASH_CONTENT.SUB-96.A
ELEC.CONS_TOT.PC-ENC-1.A,0,35,378,434,876,,,,,ELEC.CONS_TOT.PC-1.A
ELEC.CONS_TOT.NG-AK-1.A,0,35,378,434,877,,,,,ELEC.CONS_TOT.NG-1.A
ELEC.CONS_EG_BTU.PEL-AK-7.A,0,33,374,413,823,,,,,ELEC.CONS_EG_BTU.PEL-7.A
ELEC.SULFUR_CONTENT.PEL-AL-94.A,0,41142,41154,41438,41945,,,,,ELEC.SULFUR_CONTENT.PEL-94.A
ELEC.ASH_CONTENT.BIT-ENC-5.A,0,41143,41156,41461,42131,,,,,ELEC.ASH_CONTENT.BIT-5.A
ELEC.ASH_CONTENT.SUB-AK-5.A,0,41143,41156,41461,42132,,,,,ELEC.ASH_CONTENT.SUB-5.A
ELEC.CONS_TOT.COW-AK-94.A,0,35,378,435,878,,,,,ELEC.CONS_TOT.COW-94.A
ELEC.ASH_CONTENT.PC-IA-5.A,0,41143,41156,41461,42135,,,,,ELEC.ASH_CONTENT.PC-5.A
ELEC.CONS_UTO_BTU.PEL-AK-96.A,0,34,376,423,847,,,,,ELEC.CONS_UTO_BTU.PEL-96.A
ELEC.ASH_CONTENT.COW-AL-97.A,0,41143,41156,41462,42137,,,,,ELEC.ASH_CONTENT.COW-97.A
ELEC.ASH_CONTENT.BIT-AL-97.A,0,41143,41156,41462,42138,,,,,ELEC.ASH_CONTENT.BIT-97.A
ELEC.CONS_TOT.PEL-AK-94.A,0,35,378,435,879,,,,,ELEC.CONS_TOT.PEL-94.A
ELEC.ASH_CONTENT.LIG-LA-97.A,0,41143,41156,41462,42140,,,,,ELEC.ASH_CONTENT.LIG-97.A
ELEC.COST_BTU.BIT-US-96.A,0,41141,41152,41423,41809,,,,,ELEC.COST_BTU.BIT-96.A
ELEC.ASH_CONTENT.COW-ENC-6.A,0,41143,41156,41463,42144,,,,,ELEC.ASH_CONTENT.COW-6.A
ELEC.CONS_TOT.PC-CA-94.A,0,35,378,435,880,,,,,ELEC.CONS_TOT.PC-94.A
ELEC.ASH_CONTENT.SUB-MAT-6.A,0,41143,41156,41463,42146,,,,,ELEC.ASH_CONTENT.SUB-6.A
ELEC.ASH_CONTENT.LIG-TX-6.A,0,41143,41156,41463,42147,,,,,ELEC.ASH_CONTENT.LIG-6.A
ELEC.ASH_CONTENT.PC-TX-6.A,0,41143,41156,41463,42149,,,,,ELEC.ASH_CONTENT.PC-6.A
ELEC.ASH_CONTENT.COW-AL-7.A,0,41143,41156,41464,42151,,,,,ELEC.ASH_CONTENT.COW-7.A
ELEC.ASH_CONTENT.BIT-AL-7.A,0,41143,41156,41464,42152,,,,,ELEC.ASH_CONTENT.BIT-7.A
ELEC.ASH_CONTENT.SUB-AZ-7.A,0,41143,41156,41464,42153,,,,,ELEC.ASH_CONTENT.SUB-7.A
ELEC.ASH_CONTENT.LIG-LA-7.A,0,41143,41156,41464,42154,,,,,ELEC.ASH_CONTENT.LIG-7.A
ELEC.ASH_CONTENT.PC-CA-7.A,0,41143,41156,41464,42156,,,,,ELEC.ASH_CONTENT.PC-7.A
ELEC.CONS_TOT.COW-AR-2.A,0,35,378,436,882,,,,,ELEC.CONS_TOT.COW-2.A
ELEC.SULFUR_CONTENT.PC-CA-94.A,0,41142,41154,41438,41946,,,,,ELEC.SULFUR_CONTENT.PC-94.A
ELEC.COST_BTU.COW-US-7.A,0,41141,41152,41428,41843,,,,,ELEC.COST_BTU.COW-7.A
ELEC.COST_BTU.BIT-US-7.A,0,41141,41152,41428,41844,,,,,ELEC.COST_BTU.BIT-7.A
ELEC.COST_BTU.SUB-US-7.A,0,41141,41152,41428,41845,,,,,ELEC.COST_BTU.SUB-7.A
ELEC.COST_BTU.LIG-US-7.A,0,41141,41152,41428,41846,,,,,ELEC.COST_BTU.LIG-7.A
ELEC.COST_BTU.PEL-US-7.A,0,41141,41152,41428,41847,,,,,ELEC.COST_BTU.PEL-7.A
ELEC.ASH_CONTENT.SUB-AZ-97.A,0,41143,41156,41462,42139,,,,,ELEC.ASH_CONTENT.SUB-97.A
ELEC.STOCKS.COL-AK-98.A,0,41137,41144,41158,41167,,,,,ELEC.STOCKS.COL-98.A
ELEC.STOCKS.BIS-US-98.A,0,41137,41144,41158,41168,,,,,ELEC.STOCKS.BIS-98.A
ELEC.STOCKS.PEL-AK-98.A,0,41137,41144,41158,41171,,,,,ELEC.STOCKS.PEL-98.A
ELEC.STOCKS.COL-AK-1.A,0,41137,41144,41159,41173,,,,,ELEC.STOCKS.COL-1.A
ELEC.STOCKS.COL-AK-94.A,0,41137,41144,41160,41179,,,,,ELEC.STOCKS.COL-94.A
ELEC.STOCKS.BIS-US-1.A,0,41137,41145,41162,41189,,,,,ELEC.STOCKS.BIS-1.A
ELEC.STOCKS.BIS-US-94.A,0,41137,41145,41162,41190,,,,,ELEC.STOCKS.BIS-94.A
ELEC.STOCKS.SUB-US-98.A,0,41137,41145,41163,41191,,,,,ELEC.STOCKS.SUB-98.A
ELEC.STOCKS.SUB-US-1.A,0,41137,41145,41163,41192,,,,,ELEC.STOCKS.SUB-1.A
ELEC.STOCKS.SUB-US-94.A,0,41137,41145,41163,41193,,,,,ELEC.STOCKS.SUB-94.A
ELEC.STOCKS.LIG-US-98.A,0,41137,41145,41164,41194,,,,,ELEC.STOCKS.LIG-98.A
ELEC.STOCKS.LIG-US-1.A,0,41137,41145,41164,41195,,,,,ELEC.STOCKS.LIG-1.A
ELEC.STOCKS.LIG-US-94.A,0,41137,41145,41164,41196,,,,,ELEC.STOCKS.LIG-94.A
ELEC.STOCKS.PEL-AK-1.A,0,41137,41145,41165,41198,,,,,ELEC.STOCKS.PEL-1.A
ELEC.STOCKS.PEL-AL-94.A,0,41137,41145,41165,41199,,,,,ELEC.STOCKS.PEL-94.A
ELEC.STOCKS.PC-CA-98.A,0,41137,41145,41166,41200,,,,,ELEC.STOCKS.PC-98.A
ELEC.STOCKS.PC-ENC-1.A,0,41137,41145,41166,41201,,,,,ELEC.STOCKS.PC-1.A
ELEC.STOCKS.PC-CA-94.A,0,41137,41145,41166,41202,,,,,ELEC.STOCKS.PC-94.A
ELEC.RECEIPTS.COW-AK-98.A,0,41138,41146,41210,41221,,,,,ELEC.RECEIPTS.COW-98.A
ELEC.RECEIPTS.BIT-AL-98.A,0,41138,41146,41210,41222,,,,,ELEC.RECEIPTS.BIT-98.A
ELEC.RECEIPTS.SUB-AK-98.A,0,41138,41146,41210,41223,,,,,ELEC.RECEIPTS.SUB-98.A
ELEC.RECEIPTS.LIG-ESC-98.A,0,41138,41146,41210,41224,,,,,ELEC.RECEIPTS.LIG-98.A
ELEC.RECEIPTS.PEL-AK-98.A,0,41138,41146,41210,41225,,,,,ELEC.RECEIPTS.PEL-98.A
ELEC.RECEIPTS.PC-CA-98.A,0,41138,41146,41210,41226,,,,,ELEC.RECEIPTS.PC-98.A
ELEC.RECEIPTS.NG-AK-98.A,0,41138,41146,41210,41227,,,,,ELEC.RECEIPTS.NG-98.A
ELEC.RECEIPTS.COW-AK-1.A,0,41138,41146,41211,41228,,,,,ELEC.RECEIPTS.COW-1.A
ELEC.RECEIPTS.BIT-AL-1.A,0,41138,41146,41211,41229,,,,,ELEC.RECEIPTS.BIT-1.A
ELEC.RECEIPTS.SUB-AK-1.A,0,41138,41146,41211,41230,,,,,ELEC.RECEIPTS.SUB-1.A
ELEC.RECEIPTS.LIG-LA-1.A,0,41138,41146,41211,41231,,,,,ELEC.RECEIPTS.LIG-1.A
ELEC.RECEIPTS.PEL-AK-1.A,0,41138,41146,41211,41232,,,,,ELEC.RECEIPTS.PEL-1.A
ELEC.RECEIPTS.PC-ENC-1.A,0,41138,41146,41211,41233,,,,,ELEC.RECEIPTS.PC-1.A
ELEC.RECEIPTS.NG-AK-1.A,0,41138,41146,41211,41234,,,,,ELEC.RECEIPTS.NG-1.A
ELEC.RECEIPTS.COW-AK-94.A,0,41138,41146,41212,41235,,,,,ELEC.RECEIPTS.COW-94.A
ELEC.RECEIPTS.BIT-AL-94.A,0,41138,41146,41212,41236,,,,,ELEC.RECEIPTS.BIT-94.A
ELEC.RECEIPTS.SUB-AK-94.A,0,41138,41146,41212,41237,,,,,ELEC.RECEIPTS.SUB-94.A
ELEC.RECEIPTS.LIG-ESC-94.A,0,41138,41146,41212,41238,,,,,ELEC.RECEIPTS.LIG-94.A
ELEC.RECEIPTS.PEL-AL-94.A,0,41138,41146,41212,41239,,,,,ELEC.RECEIPTS.PEL-94.A
ELEC.RECEIPTS.PC-CA-94.A,0,41138,41146,41212,41240,,,,,ELEC.RECEIPTS.PC-94.A
ELEC.RECEIPTS.NG-AL-94.A,0,41138,41146,41212,41241,,,,,ELEC.RECEIPTS.NG-94.A
ELEC.RECEIPTS.COW-AR-2.A,0,41138,41146,41213,41242,,,,,ELEC.RECEIPTS.COW-2.A
ELEC.RECEIPTS.BIT-DE-2.A,0,41138,41146,41213,41243,,,,,ELEC.RECEIPTS.BIT-2.A
ELEC.RECEIPTS.SUB-AR-2.A,0,41138,41146,41213,41244,,,,,ELEC.RECEIPTS.SUB-2.A
ELEC.RECEIPTS.LIG-ESC-2.A,0,41138,41146,41213,41245,,,,,ELEC.RECEIPTS.LIG-2.A
ELEC.RECEIPTS.PEL-AL-2.A,0,41138,41146,41213,41246,,,,,ELEC.RECEIPTS.PEL-2.A
ELEC.RECEIPTS.PC-CA-2.A,0,41138,41146,41213,41247,,,,,ELEC.RECEIPTS.PC-2.A
ELEC.RECEIPTS.NG-AL-2.A,0,41138,41146,41213,41248,,,,,ELEC.RECEIPTS.NG-2.A
ELEC.RECEIPTS.COW-AK-3.A,0,41138,41146,41214,41249,,,,,ELEC.RECEIPTS.COW-3.A
ELEC.RECEIPTS.BIT-AL-3.A,0,41138,41146,41214,41250,,,,,ELEC.RECEIPTS.BIT-3.A
ELEC.RECEIPTS.SUB-AK-3.A,0,41138,41146,41214,41251,,,,,ELEC.RECEIPTS.SUB-3.A
ELEC.RECEIPTS.PEL-CT-3.A,0,41138,41146,41214,41253,,,,,ELEC.RECEIPTS.PEL-3.A
ELEC.RECEIPTS.PC-CA-3.A,0,41138,41146,41214,41254,,,,,ELEC.RECEIPTS.PC-3.A
ELEC.RECEIPTS.NG-AL-3.A,0,41138,41146,41214,41255,,,,,ELEC.RECEIPTS.NG-3.A
ELEC.RECEIPTS.COW-AK-96.A,0,41138,41146,41215,41256,,,,,ELEC.RECEIPTS.COW-96.A
ELEC.RECEIPTS.BIT-ENC-96.A,0,41138,41146,41215,41257,,,,,ELEC.RECEIPTS.BIT-96.A
ELEC.RECEIPTS.SUB-AK-96.A,0,41138,41146,41215,41258,,,,,ELEC.RECEIPTS.SUB-96.A
ELEC.RECEIPTS.PEL-AK-96.A,0,41138,41146,41215,41260,,,,,ELEC.RECEIPTS.PEL-96.A
ELEC.RECEIPTS.PC-IA-96.A,0,41138,41146,41215,41261,,,,,ELEC.RECEIPTS.PC-96.A
ELEC.RECEIPTS.NG-AK-96.A,0,41138,41146,41215,41262,,,,,ELEC.RECEIPTS.NG-96.A
