category_id,name
41432,Lignite coal
41433,Petroleum liquids
41434,Petroleum coke
41436,Electric power (total)
41437,Electric utility
41438,Independent power producers (total)
41439,Electric utility non-cogen
41440,Electric utility cogen
41441,All commercial (total)
41442,Commercial non-cogen
41443,Commercial cogen
41444,All industrial (total)
41445,Industrial non-cogen
41446,Industrial cogen
41447,Coal
41448,Bituminous coal
41449,Subbituminous coal
41450,Lignite coal
41452,Petroleum coke
41454,Electric power (total)
41455,Electric utility
41456,Independent power producers (total)
41457,Electric utility non-cogen
41458,Electric utility cogen
41459,All commercial (total)
41461,Commercial cogen
41462,All industrial (total)
41463,Industrial non-cogen
41464,Industrial cogen
41465,Coal
41466,Bituminous coal
41467,Subbituminous coal
41468,Lignite coal
41469,Petroleum liquids
41470,Petroleum coke
41471,Natural gas
41472,Coal
41473,Bituminous coal
41474,Subbituminous coal
41475,Lignite coal
41476,Petroleum liquids
41477,Petroleum coke
41478,Natural gas
41479,Coal
41480,Bituminous coal
41481,Subbituminous coal
41482,Lignite coal
41483,Petroleum liquids
41484,Petroleum coke
41485,Natural gas
41486,Coal
41487,Bituminous coal
41488,Subbituminous coal
41489,Lignite coal
41490,Petroleum liquids
41491,Petroleum coke
41492,Natural gas
41493,Coal
41494,Bituminous coal
41495,Subbituminous coal
41497,Petroleum liquids
41498,Petroleum coke
41499,Natural gas
41500,Coal
41501,Bituminous coal
41502,Subbituminous coal
41504,Petroleum liquids
41505,Petroleum coke
41506,Natural gas
41511,Petroleum liquids
41513,Natural gas
41514,Coal
41515,Bituminous coal
41516,Subbituminous coal
41518,Petroleum liquids
41519,Petroleum coke
41520,Natural gas
41521,Coal
41522,Bituminous coal
41523,Subbituminous coal
41524,Lignite coal
41525,Petroleum liquids
41526,Petroleum coke
41527,Natural gas
41528,Coal
41529,Bituminous coal
41530,Subbituminous coal
41531,Lignite coal
41532,Petroleum liquids
41533,Petroleum coke
41534,Natural gas
41535,Coal
41536,Bituminous coal
41537,Subbituminous coal
41538,Lignite coal
41539,Petroleum liquids
41540,Petroleum coke
41541,Natural gas
41619,Coal
41620,Bituminous coal
41621,Subbituminous coal
41622,Lignite coal
41623,Petroleum liquids
41624,Petroleum coke
41625,Natural gas
41626,Coal
41627,Bituminous coal
41628,Subbituminous coal
41629,Lignite coal
41630,Petroleum liquids
41631,Petroleum coke
41632,Natural gas
41633,Coal
41634,Bituminous coal
41635,Subbituminous coal
41636,Lignite coal
41637,Petroleum liquids
41638,Petroleum coke
41639,Natural gas
41640,Coal
41641,Bituminous coal
41642,Subbituminous coal
41643,Lignite coal
41644,Petroleum liquids
41645,Petroleum coke
41646,Natural gas
41647,Coal
41648,Bituminous coal
41649,Subbituminous coal
41651,Petroleum liquids
41652,Petroleum coke
41653,Natural gas
41654,Coal
41655,Bituminous coal
41656,Subbituminous coal
41658,Petroleum liquids
41659,Petroleum coke
41660,Natural gas
41665,Petroleum liquids
41667,Natural gas
41668,Coal
41669,Bituminous coal
41670,Subbituminous coal
41672,Petroleum liquids
41673,Petroleum coke
41674,Natural gas
41675,Coal
41676,Bituminous coal
41677,Subbituminous coal
41678,Lignite coal
41679,Petroleum liquids
41680,Petroleum coke
41681,Natural gas
41682,Coal
41683,Bituminous coal
41684,Subbituminous coal
41685,Lignite coal
41686,Petroleum liquids
41688,Natural gas
41689,Coal
41690,Bituminous coal
41691,Subbituminous coal
41692,Lignite coal
41693,Petroleum liquids
41694,Petroleum coke
41695,Natural gas
41773,Coal
41774,Bituminous coal
41775,Subbituminous coal
41776,Lignite coal
41777,Petroleum liquids
41778,Petroleum coke
41779,Natural gas
41780,Coal
41781,Bituminous coal
41782,Subbituminous coal
41783,Lignite coal
41784,Petroleum liquids
41785,Petroleum coke
41786,Natural gas
41787,Coal
41788,Bituminous coal
41789,Subbituminous coal
41790,Lignite coal
41791,Petroleum liquids
41792,Petroleum coke
41793,Natural gas
41794,Coal
41795,Bituminous coal
